Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,41,"China, mainland",5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,28,,Official data
TCL,Crops and livestock products,214,"China, Taiwan Province of",5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,2084,,Official data
TCL,Crops and livestock products,214,"China, Taiwan Province of",5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,,Official data
TCL,Crops and livestock products,44,Colombia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,14801,,Official data
TCL,Crops and livestock products,44,Colombia,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,7056,,Official data
TCL,Crops and livestock products,46,Congo,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,9,,Official data
TCL,Crops and livestock products,46,Congo,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,1508,,Official data
TCL,Crops and livestock products,47,Cook Islands,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,4,*,Unofficial figure
TCL,Crops and livestock products,48,Costa Rica,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,2952,,Official data
TCL,Crops and livestock products,48,Costa Rica,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,366,,Official data
TCL,Crops and livestock products,107,C?te d'Ivoire,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,51032,,Official data
TCL,Crops and livestock products,107,C?te d'Ivoire,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,1525594,,Official data
TCL,Crops and livestock products,98,Croatia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,26563,,Official data
TCL,Crops and livestock products,98,Croatia,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,1,,Official data
TCL,Crops and livestock products,49,Cuba,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,R,Estimated data using trading partners database
TCL,Crops and livestock products,49,Cuba,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,1484,R,Estimated data using trading partners database
TCL,Crops and livestock products,50,Cyprus,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,105,,Official data
TCL,Crops and livestock products,167,Czechia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,54604,,Official data
TCL,Crops and livestock products,167,Czechia,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,3,,Official data
