Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","97","Hungary","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","82","","Official data"
"TCL","Crops and livestock products","101","Indonesia","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","27827","","Official data"
"TCL","Crops and livestock products","104","Ireland","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","105","Israel","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","106","Italy","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","943","","Official data"
"TCL","Crops and livestock products","109","Jamaica","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","195","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","110","Japan","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","50","","Official data"
"TCL","Crops and livestock products","119","Latvia","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","121","Lebanon","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","123","Liberia","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","9982","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","126","Lithuania","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","256","Luxembourg","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","1","","Official data"
"TCL","Crops and livestock products","129","Madagascar","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","10134","","Official data"
"TCL","Crops and livestock products","131","Malaysia","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","155572","","Official data"
"TCL","Crops and livestock products","138","Mexico","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","476","","Official data"
"TCL","Crops and livestock products","144","Mozambique","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","28","Myanmar","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","147","Namibia","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","9","Im","FAO data based on imputation methodology"
"TCL","Crops and livestock products","150","Netherlands","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","237808","","Official data"
"TCL","Crops and livestock products","156","New Zealand","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","2","","Official data"
"TCL","Crops and livestock products","157","Nicaragua","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","4013","","Official data"
"TCL","Crops and livestock products","159","Nigeria","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","294661","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","154","North Macedonia","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","14","","Official data"
"TCL","Crops and livestock products","162","Norway","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","4","","Official data"
"TCL","Crops and livestock products","221","Oman","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","166","Panama","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","852","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","168","Papua New Guinea","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","36307","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","170","Peru","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","61970","","Official data"
"TCL","Crops and livestock products","171","Philippines","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","3069","","Official data"
"TCL","Crops and livestock products","173","Poland","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","249","","Official data"
"TCL","Crops and livestock products","174","Portugal","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","27","","Official data"
"TCL","Crops and livestock products","117","Republic of Korea","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","23","","Official data"
"TCL","Crops and livestock products","183","Romania","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","13","","Official data"
"TCL","Crops and livestock products","185","Russian Federation","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","129","","Official data"
"TCL","Crops and livestock products","184","Rwanda","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","1","","Official data"
"TCL","Crops and livestock products","189","Saint Lucia","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","15","","Official data"
"TCL","Crops and livestock products","191","Saint Vincent and the Grenadines","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","11","","Official data"
"TCL","Crops and livestock products","244","Samoa","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","35","","Official data"
"TCL","Crops and livestock products","193","Sao Tome and Principe","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","3045","","Official data"
"TCL","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","13","","Official data"
"TCL","Crops and livestock products","197","Sierra Leone","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","14745","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","200","Singapore","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","48","","Official data"
"TCL","Crops and livestock products","199","Slovakia","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","198","Slovenia","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","3","","Official data"
"TCL","Crops and livestock products","25","Solomon Islands","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","5048","","Official data"
"TCL","Crops and livestock products","202","South Africa","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","4","","Official data"
"TCL","Crops and livestock products","203","Spain","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","356","","Official data"
"TCL","Crops and livestock products","38","Sri Lanka","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","5","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","210","Sweden","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","1","","Official data"
"TCL","Crops and livestock products","211","Switzerland","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","486","","Official data"
"TCL","Crops and livestock products","216","Thailand","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","289","","Official data"
"TCL","Crops and livestock products","217","Togo","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","6476","","Official data"
"TCL","Crops and livestock products","220","Trinidad and Tobago","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","220","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","223","Turkey","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","2062","","Official data"
"TCL","Crops and livestock products","226","Uganda","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","30770","","Official data"
"TCL","Crops and livestock products","230","Ukraine","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","1","","Official data"
"TCL","Crops and livestock products","225","United Arab Emirates","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","2","","Official data"
"TCL","Crops and livestock products","229","United Kingdom of Great Britain and Northern Ireland","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","724","","Official data"
"TCL","Crops and livestock products","215","United Republic of Tanzania","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","10157","","Official data"
"TCL","Crops and livestock products","231","United States of America","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","6478","","Official data"
"TCL","Crops and livestock products","234","Uruguay","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","155","Vanuatu","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","1364","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","712","","Official data"
"TCL","Crops and livestock products","237","Viet Nam","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","1634","Im","FAO data based on imputation methodology"
